Product Name, Price
Nike AlphaDunk,$120.97,https://www.nike.com/t/alphadunk-basketball-shoe-PVlFH3/BQ5401-600
Nike React Metcon,$102.97,https://www.nike.com/t/react-metcon-mens-training-shoe-1G703V/BQ6044-323
Nike Air Zoom Pegasus 35,$83.97,https://www.nike.com/t/air-zoom-pegasus-35-womens-running-shoe-wide-k960G1/942856-001
Nike Air Zoom Wildhorse 5,$60.97,https://www.nike.com/t/air-zoom-wildhorse-5-mens-trail-running-shoe-lMslPS/AQ2222-100
Nike Air Max Impact,$71.97,https://www.nike.com/t/air-max-impact-basketball-shoe-rT6d0G/CI1396-400
Nike Air Max Correlate,$69.97,https://www.nike.com/t/air-max-correlate-womens-shoe-29Vjp0/511417-100
Kyrie 6,$96.97,https://www.nike.com/t/kyrie-6-big-kids-basketball-shoe-nF6V4S/BQ5599-101
Nike Flex Control 3,$41.97,https://www.nike.com/t/flex-control-3-mens-training-shoe-1lFKLq/AJ5911-002
Nike MX-720-818,$125.97,https://www.nike.com/t/mx-720-818-mens-shoe-HX1Wph/CI3871-600
Nike Air Max 720,$97.97,https://www.nike.com/t/air-max-720-mens-shoe-Nz7NKG/AO2924-101
Nike Renew Run,$67.97,https://www.nike.com/t/renew-run-mens-running-shoe-extra-wide-xdx3PD/CW7437-001
Nike Max 90 Crib,$30.97,https://www.nike.com/t/max-90-crib-baby-bootie-qn64sJ/CI0424-700
Nike React Element 55,$70.97,https://www.nike.com/t/react-element-55-mens-shoe-JFqsrn/CI9593-001
Nike Downshifter 9,$32.97,https://www.nike.com/t/downshifter-9-infant-toddler-shoe-GPF9vq/AR4137-401
Nike Air VaporMax Flyknit 3,$133.97,https://www.nike.com/t/air-vapormax-flyknit-3-mens-shoe-JsWsB7/AJ6900-012
Nike Phantom Venom Academy FG,$34.97,https://www.nike.com/t/phantom-venom-academy-fg-firm-ground-soccer-cleat-6JVNll/AO0566-007
Nike Metcon Flyknit 3,$102.97,https://www.nike.com/t/metcon-flyknit-3-mens-cross-training-weightlifting-shoe-DqNHcg/AQ8022-001
Nike Air Max 270 RT,$92.97,https://www.nike.com/t/air-max-270-rt-little-kids-shoe-L14vZ4/BQ0102-105
Nike Air Zoom UNVRS FlyEase,$108.97,https://www.nike.com/t/air-zoom-unvrs-flyease-basketball-shoe-29tFGs/CQ6422-001
Nike Pegasus '92 Lite USA,$47.97,https://www.nike.com/t/pegasus-92-lite-usa-little-kids-shoe-P7jcbN/CW8082-100
Nike Air Zoom Pegasus 36 Premium,$90.97,https://www.nike.com/t/air-zoom-pegasus-36-premium-womens-running-shoe-S89LbG/BQ5403-005
Nike Air Zoom Vomero 14,$96.97,https://www.nike.com/t/air-zoom-vomero-14-womens-running-shoe-hK53Km/AH7858-011
Nike Air Zoom Winflo 6,$65.97,https://www.nike.com/t/air-zoom-wio-6-mens-running-shoe-SHNScG/AQ7497-001
Nike Revolution 5,$37.97,https://www.nike.com/t/revolution-5-little-kids-shoe-kg9rbv/BQ5672-402
Nike Atsuma,$43.97,https://www.nike.com/t/atsuma-mens-shoe-P0bskx/CD5461-102
Nike React Presto,$64.97,https://www.nike.com/t/react-presto-big-kids-shoe-SKkJXq/CT6624-002
Nike Air Flightposite 2,$152.97,https://www.nike.com/t/air-flightposite-2-mens-shoe-j0H3qJ/CD7399-500
Nike Air Zoom Pegasus 36,$84.97,https://www.nike.com/t/air-zoom-pegasus-36-mens-running-shoe-extra-wide-D24Mcz/AQ2205-001
Jordan "Why Not?" Zer0.3 SE,$103.97,https://www.nike.com/t/jordan-why-not-zer03-se-mens-basketball-shoe-xsbCmd/CK6611-101
Nike Team Hustle Quick 2,$42.97,https://www.nike.com/t/team-hustle-quick-2-big-kids-shoe-xQDdf4/AT5298-602
Nike Killshot OG SP,$65.97,https://www.nike.com/t/killshot-og-sp-mens-shoe-t4btPQ/CU9180-101
Nike Joyride CC3 Setter,$89.97,https://www.nike.com/t/joyride-cc3-setter-mens-shoe-WW6qfW/AT6395-102
Nike Downshifter 9,$44.97,https://www.nike.com/t/downshifter-9-mens-running-shoe-v0cLTv/AQ7481-800
Nike Air Max 98 SE,$64.97,https://www.nike.com/t/air-max-98-se-womens-shoe-6RkFj7/AT6640-801
Nike Air Max 200,$58.97,https://www.nike.com/t/air-max-200-big-kids-shoe-Nr17Kp/CQ4009-100
Nike Renew Fusion,$67.97,https://www.nike.com/t/renew-fusion-mens-training-shoe-s43bd8/CD0200-400
Nike Air Max 90,$42.97,https://www.nike.com/t/air-max-90-mens-slide-ch384n/BQ4635-001
Nike RT Presto Extreme,$40.97,https://www.nike.com/t/rt-presto-extreme-baby-toddler-shoe-FZSGDV/CD6887-004
Nike Air Max 720,$79.97,https://www.nike.com/t/air-max-720-little-big-kids-shoe-D1VJ28/AQ3196-002
Nike Air Max Oketo,$51.97,https://www.nike.com/t/air-max-oketo-big-kids-shoe-5bTxhb/AR7419-101
Nike Drop-Type Premium,$62.97,https://www.nike.com/t/drop-type-premium-mens-shoe-TPhpLd/CN6916-003
Nike ACG React Terra Gobe,$74.97,https://www.nike.com/t/acg-react-terra-gobe-mens-shoe-75FvFZ/BV6344-600
Nike Air Zoom Winflo 5,$76.97,https://www.nike.com/t/air-zoom-wio-5-mens-running-shoe-70OMLY/AA7406-002
Nike React Presto,$74.97,https://www.nike.com/t/react-presto-big-kids-shoe-cSDkzN/BQ4002-600
Nike Vapor Edge Pro 360,$95.97,https://www.nike.com/t/vapor-edge-pro-360-mens-football-cleat-HXd3nk/AO8277-003
Nike Force 1 LV8,$55.97,https://www.nike.com/t/force-1-lv8-little-kids-shoe-SsxLZk/CJ4114-300
Nike Zoom Gravity,$65.97,https://www.nike.com/t/zoom-gravity-womens-running-shoe-gb3t0N/BQ3203-006
Nike Flex Experience RN 8,$47.97,https://www.nike.com/t/flex-experience-rn-8-big-kids-running-shoe-lrZp46/AQ2248-600
